225;225;p0
177;177;p1
257;257;p2
217;217;p3
425;425;p4
332;332;p5
297;297;p6
277;277;p7
285;285;p8
307;307;p9
62;62;p10
275;275;p11
242;242;p12
285;285;p13
220;220;p14
165;165;p15
247;247;p16
227;227;p17
312;312;p18
267;267;p19
227;227;p20
310;310;p21
265;265;p22
225;225;p23
350;350;p24
232;232;p25
127;127;p26
232;232;p27
122;122;p28
305;305;p29
207;207;p30
167;167;p31
305;305;p32
267;267;p33
242;242;p34
235;235;p35
202;202;p36
195;195;p37
270;270;p38
375;375;p39
275;275;p40
535;535;p41
145;145;p42
295;295;p43
210;210;p44
262;262;p45
300;300;p46
167;167;p47
200;200;p48
260;260;p49
102;102;p50
525;525;p51
242;242;p52
215;215;p53
165;165;p54
220;220;p55
267;267;p56
387;387;p57
285;285;p58
257;257;p59
225;225;p60
235;235;p61
252;252;p62
95;95;p63
212;212;p64
77;77;p65
282;282;p66
192;192;p67
162;162;p68
70;70;p69
257;257;p70
160;160;p71
245;245;p72
255;255;p73
245;245;p74
252;252;p75
150;150;p76
240;240;p77
325;325;p78
367;367;p79
195;195;p80
400;400;p81
550;550;p82
340;340;p83
232;232;p84
287;287;p85
225;225;p86
447;447;p87
262;262;p88
190;190;p89
387;387;p90
150;150;p91
292;292;p92
345;345;p93
260;260;p94
445;445;p95
240;240;p96
282;282;p97
172;172;p98
247;247;p99
250;250;p100
330;330;p101
402;402;p102
227;227;p103
270;270;p104
525;525;p105
200;200;p106
60;60;p107
110;110;p108
445;445;p109
280;280;p110
287;287;p111
230;230;p112
280;280;p113
292;292;p114
230;230;p115
212;212;p116
240;240;p117
192;192;p118
145;145;p119
162;162;p120
285;285;p121
422;422;p122
150;150;p123
187;187;p124
145;145;p125
435;435;p126
182;182;p127
167;167;p128
177;177;p129
182;182;p130
270;270;p131
517;517;p132
477;477;p133
132;132;p134
305;305;p135
125;125;p136
167;167;p137
110;110;p138
515;515;p139
302;302;p140
190;190;p141
292;292;p142
225;225;p143
150;150;p144
215;215;p145
257;257;p146
207;207;p147
220;220;p148
102;102;p149
250;250;p150
510;510;p151
190;190;p152
260;260;p153
305;305;p154
387;387;p155
242;242;p156
110;110;p157
240;240;p158
175;175;p159
290;290;p160
287;287;p161
262;262;p162
265;265;p163
330;330;p164
182;182;p165
287;287;p166
242;242;p167
275;275;p168
407;407;p169
252;252;p170
225;225;p171
185;185;p172
427;427;p173
187;187;p174
532;532;p175
227;227;p176
377;377;p177
170;170;p178
155;155;p179
317;317;p180
180;180;p181
297;297;p182
272;272;p183
225;225;p184
242;242;p185
152;152;p186
280;280;p187
175;175;p188
240;240;p189
287;287;p190
517;517;p191
137;137;p192
120;120;p193
245;245;p194
425;425;p195
302;302;p196
197;197;p197
270;270;p198
260;260;p199
162;162;p200
252;252;p201
412;412;p202
237;237;p203
285;285;p204
267;267;p205
452;452;p206
167;167;p207
80;80;p208
270;270;p209
217;217;p210
167;167;p211
192;192;p212
205;205;p213
277;277;p214
492;492;p215
250;250;p216
250;250;p217
475;475;p218
162;162;p219
545;545;p220
162;162;p221
270;270;p222
242;242;p223
510;510;p224
167;167;p225
252;252;p226
172;172;p227
487;487;p228
230;230;p229
177;177;p230
377;377;p231
262;262;p232
117;117;p233
237;237;p234
165;165;p235
137;137;p236
165;165;p237
390;390;p238
142;142;p239
380;380;p240
260;260;p241
445;445;p242
195;195;p243
235;235;p244
472;472;p245
92;92;p246
237;237;p247
190;190;p248
230;230;p249
222;222;p250
200;200;p251
215;215;p252
270;270;p253
270;270;p254
222;222;p255
462;462;p256
100;100;p257
527;527;p258
405;405;p259
265;265;p260
287;287;p261
165;165;p262
242;242;p263
515;515;p264
230;230;p265
245;245;p266
250;250;p267
505;505;p268
122;122;p269
282;282;p270
275;275;p271
202;202;p272
222;222;p273
125;125;p274
380;380;p275
137;137;p276
115;115;p277
232;232;p278
207;207;p279
215;215;p280
202;202;p281
292;292;p282
390;390;p283
252;252;p284
172;172;p285
212;212;p286
242;242;p287
325;325;p288
110;110;p289
217;217;p290
222;222;p291
485;485;p292
282;282;p293
510;510;p294
522;522;p295
270;270;p296
172;172;p297
355;355;p298
140;140;p299
207;207;p300
290;290;p301
495;495;p302
192;192;p303
212;212;p304
492;492;p305
227;227;p306
190;190;p307
285;285;p308
490;490;p309
515;515;p310
265;265;p311
237;237;p312
270;270;p313
205;205;p314
330;330;p315
192;192;p316
265;265;p317
395;395;p318
225;225;p319
307;307;p320
467;467;p321
100;100;p322
155;155;p323
200;200;p324
210;210;p325
247;247;p326
177;177;p327
260;260;p328
270;270;p329
227;227;p330
82;82;p331
247;247;p332
345;345;p333
312;312;p334
222;222;p335
60;60;p336
202;202;p337
372;372;p338
360;360;p339
277;277;p340
177;177;p341
280;280;p342
107;107;p343
302;302;p344
232;232;p345
227;227;p346
270;270;p347
252;252;p348
245;245;p349
350;350;p350
195;195;p351
282;282;p352
95;95;p353
222;222;p354
102;102;p355
397;397;p356
245;245;p357
302;302;p358
95;95;p359
252;252;p360
285;285;p361
262;262;p362
280;280;p363
150;150;p364
87;87;p365
282;282;p366
367;367;p367
230;230;p368
257;257;p369
182;182;p370
480;480;p371
180;180;p372
137;137;p373
365;365;p374
180;180;p375
117;117;p376
215;215;p377
215;215;p378
152;152;p379
250;250;p380
240;240;p381
262;262;p382
255;255;p383
47;47;p384
275;275;p385
267;267;p386
242;242;p387
227;227;p388
115;115;p389
245;245;p390
255;255;p391
507;507;p392
395;395;p393
100;100;p394
212;212;p395
132;132;p396
262;262;p397
205;205;p398
377;377;p399
217;217;p400
177;177;p401
217;217;p402
297;297;p403
245;245;p404
162;162;p405
502;502;p406
100;100;p407
245;245;p408
202;202;p409
230;230;p410
537;537;p411
177;177;p412
557;557;p413
467;467;p414
482;482;p415
220;220;p416
260;260;p417
305;305;p418
432;432;p419
157;157;p420
95;95;p421
310;310;p422
195;195;p423
300;300;p424
150;150;p425
345;345;p426
255;255;p427
310;310;p428
217;217;p429
227;227;p430
275;275;p431
270;270;p432
212;212;p433
152;152;p434
232;232;p435
152;152;p436
490;490;p437
210;210;p438
77;77;p439
337;337;p440
507;507;p441
427;427;p442
450;450;p443
220;220;p444
237;237;p445
240;240;p446
87;87;p447
465;465;p448
230;230;p449
72;72;p450
510;510;p451
67;67;p452
162;162;p453
517;517;p454
507;507;p455
135;135;p456
222;222;p457
247;247;p458
255;255;p459
285;285;p460
380;380;p461
292;292;p462
220;220;p463
425;425;p464
247;247;p465
162;162;p466
430;430;p467
240;240;p468
252;252;p469
310;310;p470
300;300;p471
230;230;p472
230;230;p473
290;290;p474
400;400;p475
360;360;p476
215;215;p477
222;222;p478
505;505;p479
212;212;p480
180;180;p481
277;277;p482
162;162;p483
542;542;p484
302;302;p485
505;505;p486
540;540;p487
180;180;p488
290;290;p489
450;450;p490
247;247;p491
325;325;p492
195;195;p493
400;400;p494
265;265;p495
250;250;p496
237;237;p497
227;227;p498
210;210;p499
