0 0 0 0
1 0 0 0
2 0 0 0
3 0 0 0
4 0 0 0
5 0 0 0
6 0 0 0
7 0 0 0
8 0 0 0
9 0 0 0
10 0 0 0
11 0 0 0
12 0 0 0
13 0 0 0
14 0 0 0
15 0 0 0
16 0 0 0
17 0 0 0
18 0 0 0
19 0 0 0
20 0 0 0
21 0 0 0
22 0 0 0
23 0 0 0
24 0 0 0
25 0 0 0
26 0 0 0
27 0 0 0
28 0 0 0
29 0 0 0
30 0 0 0
31 0 0 0
32 0 0 0
33 0 0 0
34 0 0 0
35 0 0 0
36 0 0 0
37 0 0 0
38 0 0 0
39 0 0 0
40 0 0 0
41 0 0 0
42 0 0 0
43 0 0 0
44 0 0 0
45 0 0 0
46 0 0 0
47 0 0 0
48 0 0 0
49 0 0 0
50 1651 9488 10803
51 253 305 638
52 295 300 629
53 338 289 561
54 361 283 473
55 408 314 478
56 432 339 513
57 475 342 491
58 479 351 497
59 441 363 516
60 427 387 493
61 348 407 474
62 338 385 485
63 290 383 480
64 247 301 473
65 243 308 490
66 220 316 482
67 232 293 540
68 183 279 535
69 192 267 526
70 154 283 537
71 161 276 554
72 180 303 505
73 164 320 502
74 127 266 495
75 163 287 479
76 166 316 480
77 151 327 500
78 164 316 517
79 181 324 528
80 182 335 546
81 150 350 582
82 151 302 547
83 154 346 564
84 154 292 644
85 134 302 645
86 133 336 543
87 121 317 512
88 110 313 411
89 150 378 396
90 133 413 295
91 148 461 295
92 132 486 239
93 123 496 224
94 120 494 198
95 116 462 171
96 138 450 180
97 128 466 136
98 150 463 161
99 123 405 157
100 148 431 143
101 144 415 146
102 145 426 139
103 138 459 117
104 176 448 121
105 140 467 115
106 132 415 115
107 144 378 130
108 157 327 102
109 171 298 129
110 169 300 129
111 176 282 117
112 209 258 102
113 179 275 111
114 184 206 129
115 190 270 105
116 191 260 100
117 166 241 107
118 168 225 119
119 164 237 99
120 157 203 116
121 172 216 100
122 153 193 117
123 178 158 103
124 157 135 131
125 172 138 133
126 198 105 110
127 171 106 123
128 185 100 112
129 146 108 110
130 187 109 101
131 193 91 108
132 202 92 121
133 152 95 112
134 210 92 109
135 175 81 107
136 226 82 107
137 169 79 103
138 185 75 111
139 180 84 116
140 172 94 93
141 213 83 100
142 229 108 97
143 222 95 67
144 253 104 66
145 271 121 68
146 255 107 73
147 237 124 76
148 300 109 89
149 276 126 92
150 263 108 71
151 270 129 75
152 246 104 55
153 297 104 80
154 281 109 71
155 299 114 66
156 333 114 67
157 276 98 75
158 314 89 74
159 280 127 65
160 311 101 72
161 335 99 47
162 348 88 57
163 371 110 38
164 358 105 39
165 367 111 36
166 347 119 30
167 327 90 25
168 317 111 33
169 280 119 19
170 295 123 23
171 316 94 15
172 306 96 28
173 313 106 13
174 313 90 14
175 364 64 15
176 310 69 15
177 342 50 10
178 341 54 9
179 303 48 12
180 308 40 13
181 277 21 8
182 298 38 8
183 268 33 15
184 259 28 6
185 272 23 4
186 283 15 7
187 282 25 11
188 296 17 7
189 284 17 11
190 290 15 6
191 280 22 7
192 283 7 4
193 260 11 6
194 249 13 4
195 266 10 6
196 219 6 7
197 213 13 3
198 199 12 4
199 169 7 1
200 3821 68 47
201 0 0 0
202 0 0 0
203 0 0 0
204 0 0 0
205 0 0 0
206 0 0 0
207 0 0 0
208 0 0 0
209 0 0 0
210 0 0 0
211 0 0 0
212 0 0 0
213 0 0 0
214 0 0 0
215 0 0 0
216 0 0 0
217 0 0 0
218 0 0 0
219 0 0 0
220 0 0 0
221 0 0 0
222 0 0 0
223 0 0 0
224 0 0 0
225 0 0 0
226 0 0 0
227 0 0 0
228 0 0 0
229 0 0 0
230 0 0 0
231 0 0 0
232 0 0 0
233 0 0 0
234 0 0 0
235 0 0 0
236 0 0 0
237 0 0 0
238 0 0 0
239 0 0 0
240 0 0 0
241 0 0 0
242 0 0 0
243 0 0 0
244 0 0 0
245 0 0 0
246 0 0 0
247 0 0 0
248 0 0 0
249 0 0 0
250 0 0 0
251 0 0 0
252 0 0 0
253 0 0 0
254 0 0 0
255 0 0 0
